LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_0h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
665.0159302,0.002994955285,665.0159302,0.001649969723,665.0159302,0.002999464516,665.0159302,-0.0009991870029,665.0159302,0.006486795377,665.0159302,-0.00355046289,
663.9995728,0.002891228534,663.9995728,0.001420924789,663.9995728,0.003003843594,663.9995728,-0.000774128479,663.9995728,0.006503165234,663.9995728,-0.003634053515,
662.9829102,0.002747094724,662.9829102,0.001446480863,662.9829102,0.002926044632,662.9829102,-0.00087044877,662.9829102,0.006363055203,662.9829102,-0.003398952773,
662.0021362,0.002785051707,662.0021362,0.001895618741,662.0021362,0.003043882316,662.0021362,-0.0002434669295,662.0021362,0.006604525726,662.0021362,-0.003166397568,
660.9849243,0.002451238921,660.9849243,0.00113899936,660.9849243,0.002624207176,660.9849243,-0.0008561364375,660.9849243,0.006416435353,660.9849243,-0.003226526547,
660.0036621,0.002727349056,660.0036621,0.001677436172,660.0036621,0.002693773247,660.0036621,-0.0005948144244,660.0036621,0.006590175442,660.0036621,-0.003443024587,
658.9857788,0.002889612922,658.9857788,0.001715143793,658.9857788,0.002797947731,658.9857788,-0.000976975658,658.9857788,0.006629127078,658.9857788,-0.003181456123,
658.0039063,0.002655329648,658.0039063,0.001401083544,658.0039063,0.002413988113,658.0039063,-0.0010385965,658.0039063,0.006702202838,658.0039063,-0.003360424889,
656.9853516,0.002444678918,656.9853516,0.001630741637,656.9853516,0.002401936334,656.9853516,-0.0009515603888,656.9853516,0.00653312169,656.9853516,-0.00349099515,
656.0029297,0.002560484922,656.0029297,0.001252770424,656.0029297,0.002042122884,656.0029297,-0.0008175372495,656.0029297,0.006668765098,656.0029297,-0.003507994115,
654.9838257,0.002814439824,654.9838257,0.001557552721,654.9838257,0.002322605345,654.9838257,-0.0007847226807,654.9838257,0.007015727926,654.9838257,-0.003128054552,
654.0007935,0.002331454074,654.0007935,0.001651191036,654.0007935,0.001997833606,654.0007935,-0.0006793374778,654.0007935,0.006231236272,654.0007935,-0.003259516787,
653.0174561,0.003036687383,653.0174561,0.002005141228,653.0174561,0.002559339395,653.0174561,-0.0004390111426,653.0174561,0.007196419407,653.0174561,-0.00289535406,
651.9974365,0.002765877405,651.9974365,0.001978486078,651.9974365,0.002181287855,651.9974365,-0.0003633904562,651.9974365,0.00663367426,651.9974365,-0.003299081232,
651.0135498,0.003170017619,651.0135498,0.002052916447,651.0135498,0.002101893304,651.0135498,-0.000503087067,651.0135498,0.006962274667,651.0135498,-0.002612562617,
649.992981,0.002314485842,649.992981,0.001492350362,649.992981,0.001593509107,649.992981,-0.0009768207092,649.992981,0.006546444725,649.992981,-0.0035217572,
